order_id,order_date,ship_date,customer_id,region,state,category,sub_category,product_id,sales,quantity,discount,profit
CA-2021-100027,2022-08-21,2022-08-26,CG-1061,Central,Ohio,Technology,Machines,MAC-27154,2804.45,4,0.3,644.22
CA-2021-100028,2022-11-19,2022-11-25,CG-1144,East,California,Office Supplies,Storage,STO-80468,951.95,2,0,71.37
CA-2021-100029,2021-08-07,2021-08-12,CG-1040,South,Michigan,Office Supplies,Binders,BIN-49651,2800.11,2,0,60.81
CA-2021-100030,2022-09-19,2022-09-26,CG-1026,West,Illinois,Technology,Accessories,ACC-25129,2005.25,9,0,719.99
CA-2021-100031,2021-04-20,2021-04-26,CG-1052,Central,Michigan,Technology,Copiers,COP-74032,820.68,10,0,189.22
CA-2021-100032,2021-09-15,2021-09-22,CG-1197,West,Illinois,Furniture,Bookcases,BOO-31178,1904.68,5,0,-376.88
CA-2021-100033,2022-03-29,2022-04-03,CG-1176,West,Michigan,Technology,Phones,PHO-14722,1684.92,2,0,618.42
CA-2021-100034,2022-01-14,2022-01-19,CG-1010,Central,Florida,Technology,Copiers,COP-99399,1292.21,1,0,24.28
CA-2021-100035,2021-09-13,2021-09-19,CG-1060,West,Texas,Furniture,Furnishings,FUR-64040,2341.45,7,0.2,584.63
CA-2021-100036,2021-01-26,2021-01-28,CG-1188,West,Illinois,Technology,Machines,MAC-30866,2348.25,7,0.5,474.22
CA-2021-100037,2022-12-20,2022-12-21,CG-1117,Central,Illinois,Office Supplies,Appliances,APP-39831,2576.49,4,0,747.06
CA-2021-100038,2021-08-17,2021-08-18,CG-1197,Central,Pennsylvania,Technology,Copiers,COP-94080,1198.41,5,0.5,-189.77
CA-2021-100039,2022-06-06,2022-06-10,CG-1067,East,California,Technology,Machines,MAC-88193,2818.02,2,0,-261.68
CA-2021-100040,2022-03-21,2022-03-24,CG-1147,West,Illinois,Technology,Machines,MAC-15817,1312.0,9,0,40.83
CA-2021-100041,2022-12-27,2022-12-31,CG-1159,Central,California,Furniture,Chairs,CHA-49363,1095.84,2,0.3,386.24
CA-2021-100042,2022-06-04,2022-06-07,CG-1107,South,Texas,Technology,Phones,PHO-90676,981.92,5,0.2,-121.39
CA-2021-100043,2022-08-06,2022-08-09,CG-1148,Central,Georgia,Office Supplies,Supplies,SUP-67905,2502.01,5,0,-184.87
CA-2021-100044,2022-03-29,2022-04-04,CG-1131,Central,California,Furniture,Tables,TAB-40784,2382.24,3,0.3,-355.25
CA-2021-100045,2022-11-20,2022-11-23,CG-1156,East,Georgia,Furniture,Chairs,CHA-64321,446.33,1,0,174.23
CA-2021-100046,2022-10-07,2022-10-12,CG-1001,East,Ohio,Furniture,Tables,TAB-38683,1485.66,4,0,287.68
CA-2021-100047,2021-06-30,2021-07-07,CG-1034,South,Michigan,Technology,Phones,PHO-83259,155.4,4,0.5,-19.76
CA-2021-100048,2022-09-02,2022-09-05,CG-1190,South,Georgia,Office Supplies,Supplies,SUP-43972,1283.09,9,0.1,434.1
CA-2021-100049,2021-09-11,2021-09-18,CG-1070,South,California,Technology,Machines,MAC-47450,2298.61,9,0.1,404.67
CA-2021-100050,2021-08-29,2021-09-01,CG-1098,West,Florida,Office Supplies,Labels,LAB-18418,2679.62,2,0,-293.42
CA-2021-100051,2022-03-01,2022-03-05,CG-1099,East,Washington,Office Supplies,Supplies,SUP-59857,1400.44,1,0,419.76
CA-2021-100052,2022-05-04,2022-05-05,CG-1139,West,Georgia,Office Supplies,Fasteners,FAS-38760,2261.66,7,0.2,562.04
CA-2021-100053,2021-10-07,2021-10-11,CG-1119,West,Washington,Office Supplies,Appliances,APP-80008,1169.63,7,0.3,-118.1
CA-2021-100054,2021-01-28,2021-02-01,CG-1046,East,Illinois,Technology,Accessories,ACC-59689,256.42,7,0,82.08
CA-2021-100055,2021-12-02,2021-12-04,CG-1107,Central,California,Office Supplies,Labels,LAB-71644,1015.81,7,0,255.18
CA-2021-100056,2021-01-20,2021-01-26,CG-1199,East,New York,Technology,Accessories,ACC-42411,2999.72,6,0,570.21
CA-2021-100057,2021-07-24,2021-07-31,CG-1055,South,Illinois,Furniture,Chairs,CHA-58351,719.44,8,0.3,-94.51
CA-2021-100058,2021-06-21,2021-06-26,CG-1006,Central,Washington,Technology,Accessories,ACC-98781,2334.49,3,0,-315.48
CA-2021-100059,2022-01-20,2022-01-24,CG-1077,East,Washington,Technology,Copiers,COP-15383,232.61,4,0,50.78
CA-2021-100060,2021-12-22,2021-12-27,CG-1125,East,Ohio,Office Supplies,Labels,LAB-57472,211.53,6,0,65.52
CA-2021-100061,2022-10-13,2022-10-20,CG-1137,South,Georgia,Office Supplies,Binders,BIN-67091,1309.28,9,0.3,-49.69
CA-2021-100062,2022-08-30,2022-09-02,CG-1062,South,Washington,Office Supplies,Envelopes,ENV-89997,2493.04,2,0,820.16
CA-2021-100063,2022-11-16,2022-11-20,CG-1090,Central,Pennsylvania,Office Supplies,Appliances,APP-46655,1485.45,6,0,137.45
CA-2021-100064,2022-09-03,2022-09-09,CG-1104,South,Michigan,Office Supplies,Supplies,SUP-41499,35.4,4,0,-1.95
CA-2021-100065,2022-12-09,2022-12-13,CG-1103,West,Illinois,Technology,Phones,PHO-97026,1347.28,1,0,-31.61
CA-2021-100066,2022-08-19,2022-08-22,CG-1090,South,Illinois,Office Supplies,Supplies,SUP-50189,1595.11,7,0.3,207.74
CA-2021-100067,2021-09-15,2021-09-17,CG-1049,West,Georgia,Furniture,Chairs,CHA-46241,950.07,9,0.5,203.41
CA-2021-100068,2022-08-27,2022-09-03,CG-1045,Central,New York,Technology,Machines,MAC-80010,2941.63,4,0,-186.82
CA-2021-100069,2021-05-10,2021-05-13,CG-1125,East,New York,Furniture,Bookcases,BOO-85243,1662.31,3,0.3,533.73
CA-2021-100070,2021-10-19,2021-10-23,CG-1122,East,California,Office Supplies,Storage,STO-62521,1025.41,1,0,373.9
CA-2021-100071,2022-05-19,2022-05-20,CG-1063,East,Michigan,Technology,Accessories,ACC-64548,459.42,10,0,-68.4
CA-2021-100072,2022-09-13,2022-09-18,CG-1076,South,Illinois,Technology,Copiers,COP-84531,2328.2,7,0.1,803.47
CA-2021-100073,2022-09-28,2022-09-29,CG-1169,East,Texas,Technology,Accessories,ACC-41439,2843.03,4,0.3,-208.64
CA-2021-100074,2021-06-27,2021-07-02,CG-1074,East,Florida,Furniture,Chairs,CHA-47762,13.01,8,0.3,2.03
CA-2021-100075,2022-12-25,2022-12-28,CG-1160,West,Ohio,Technology,Phones,PHO-25043,218.18,4,0,59.5
CA-2021-100076,2022-07-12,2022-07-14,CG-1078,Central,Georgia,Technology,Copiers,COP-26299,2725.69,3,0,-447.61
CA-2021-100077,2022-04-25,2022-05-01,CG-1020,East,Ohio,Office Supplies,Paper,PAP-52247,2828.32,9,0.2,272.3
CA-2021-100078,2022-09-11,2022-09-14,CG-1195,Central,Washington,Furniture,Bookcases,BOO-15273,690.63,10,0.2,255.86
CA-2021-100079,2021-06-29,2021-07-03,CG-1125,East,Georgia,Technology,Phones,PHO-55607,2748.64,3,0.2,169.13
CA-2021-100080,2022-02-23,2022-02-26,CG-1073,South,Michigan,Office Supplies,Art,ART-14809,2573.91,6,0.1,556.49
CA-2021-100081,2022-04-11,2022-04-12,CG-1000,South,Ohio,Office Supplies,Fasteners,FAS-17104,973.2,7,0.5,105.84
CA-2021-100082,2021-07-12,2021-07-17,CG-1033,Central,Georgia,Office Supplies,Storage,STO-73532,1878.1,1,0,-74.69
CA-2021-100083,2021-05-05,2021-05-06,CG-1104,East,Florida,Technology,Copiers,COP-24871,2130.8,5,0.2,-408.68
CA-2021-100084,2022-04-18,2022-04-19,CG-1106,South,Georgia,Technology,Copiers,COP-41946,1497.63,5,0.2,334.34
CA-2021-100085,2022-04-13,2022-04-18,CG-1034,East,Illinois,Furniture,Tables,TAB-64387,575.88,10,0.2,142.69
CA-2021-100086,2021-12-15,2021-12-22,CG-1150,South,Texas,Technology,Machines,MAC-68529,2462.55,5,0.3,-51.38
CA-2021-100087,2022-07-06,2022-07-10,CG-1082,West,Florida,Office Supplies,Labels,LAB-84946,1657.99,9,0.1,121.38
CA-2021-100088,2022-01-28,2022-01-30,CG-1097,South,Texas,Office Supplies,Appliances,APP-74923,957.94,8,0.3,333.42
CA-2021-100089,2021-02-07,2021-02-09,CG-1116,East,Texas,Technology,Machines,MAC-63736,2609.75,8,0,301.61
CA-2021-100090,2022-11-02,2022-11-04,CG-1101,East,Pennsylvania,Furniture,Tables,TAB-98389,2345.67,5,0,408.04
CA-2021-100091,2022-07-01,2022-07-05,CG-1161,Central,Florida,Office Supplies,Storage,STO-21846,2617.79,1,0.2,-416.09
CA-2021-100092,2022-03-21,2022-03-22,CG-1014,Central,Pennsylvania,Technology,Accessories,ACC-59131,1333.82,5,0,-229.96
CA-2021-100093,2022-03-18,2022-03-20,CG-1156,South,Washington,Furniture,Tables,TAB-99539,1699.95,3,0,-161.42
CA-2021-100094,2021-09-04,2021-09-08,CG-1002,South,Illinois,Technology,Copiers,COP-98815,700.4,5,0.1,-32.78
CA-2021-100095,2022-07-14,2022-07-16,CG-1108,Central,Georgia,Furniture,Tables,TAB-49599,2835.98,10,0,520.01
CA-2021-100096,2021-07-23,2021-07-27,CG-1179,Central,New York,Office Supplies,Art,ART-96275,715.43,10,0,103.66
CA-2021-100097,2022-02-10,2022-02-13,CG-1073,West,Washington,Furniture,Bookcases,BOO-56179,2732.3,8,0.5,935.79
CA-2021-100098,2021-08-13,2021-08-19,CG-1160,East,Illinois,Furniture,Furnishings,FUR-67779,2034.9,3,0.3,-288.35
CA-2021-100099,2021-02-04,2021-02-09,CG-1044,West,Texas,Office Supplies,Binders,BIN-80701,274.95,5,0,68.32
CA-2021-100100,2022-01-10,2022-01-15,CG-1075,Central,California,Technology,Machines,MAC-71385,2492.27,5,0.5,913.45
CA-2021-100101,2021-03-19,2021-03-21,CG-1101,East,Illinois,Furniture,Tables,TAB-80329,2901.97,9,0,-423.16
CA-2021-100102,2021-05-07,2021-05-11,CG-1120,East,Washington,Office Supplies,Fasteners,FAS-83584,1755.76,6,0,359.76
CA-2021-100103,2021-12-02,2021-12-07,CG-1104,East,Texas,Furniture,Bookcases,BOO-15943,1908.03,8,0.3,-35.65
CA-2021-100104,2021-02-08,2021-02-11,CG-1094,South,Washington,Office Supplies,Art,ART-30253,296.09,9,0,9.83
CA-2021-100105,2022-03-01,2022-03-07,CG-1055,South,Georgia,Furniture,Tables,TAB-40947,1848.88,5,0,395.97
CA-2021-100106,2022-01-07,2022-01-08,CG-1048,East,Georgia,Technology,Machines,MAC-22015,1635.68,6,0,63.6
CA-2021-100107,2022-11-10,2022-11-12,CG-1144,West,California,Technology,Accessories,ACC-82641,156.48,6,0,61.54
CA-2021-100108,2021-08-01,2021-08-06,CG-1000,Central,Texas,Furniture,Chairs,CHA-27038,989.04,3,0.5,336.59
CA-2021-100109,2022-07-08,2022-07-11,CG-1060,Central,New York,Furniture,Bookcases,BOO-32838,1984.87,1,0,-379.28
CA-2021-100110,2021-09-29,2021-09-30,CG-1092,East,Georgia,Furniture,Tables,TAB-76039,1580.63,2,0.1,109.01
CA-2021-100111,2021-08-15,2021-08-20,CG-1102,South,California,Furniture,Furnishings,FUR-74260,1376.84,1,0,549.57
CA-2021-100112,2022-12-31,2023-01-04,CG-1159,Central,Ohio,Furniture,Bookcases,BOO-88301,969.72,3,0,-120.52
CA-2021-100113,2022-06-28,2022-07-01,CG-1167,West,Ohio,Office Supplies,Supplies,SUP-69186,1818.25,2,0.5,401.96
CA-2021-100114,2021-08-22,2021-08-26,CG-1170,Central,Pennsylvania,Office Supplies,Storage,STO-30006,1199.2,2,0,67.23
CA-2021-100115,2022-12-05,2022-12-09,CG-1189,Central,Texas,Furniture,Bookcases,BOO-82924,2496.16,2,0.1,-354.61
CA-2021-100116,2021-03-03,2021-03-08,CG-1192,South,New York,Technology,Machines,MAC-47700,2011.69,7,0,652.12
CA-2021-100117,2022-09-07,2022-09-10,CG-1057,East,Pennsylvania,Office Supplies,Art,ART-82910,1735.87,4,0,336.83
CA-2021-100118,2022-01-12,2022-01-13,CG-1157,East,Washington,Office Supplies,Envelopes,ENV-96223,2422.63,9,0.5,705.12
CA-2021-100119,2022-12-12,2022-12-15,CG-1046,West,Washington,Furniture,Chairs,CHA-96159,823.44,5,0,8.74
CA-2021-100120,2022-02-15,2022-02-16,CG-1116,Central,Texas,Furniture,Bookcases,BOO-58503,279.81,9,0,7.2
CA-2021-100121,2021-11-16,2021-11-22,CG-1012,East,Illinois,Office Supplies,Art,ART-68079,2650.61,3,0,669.71
CA-2021-100122,2022-11-09,2022-11-13,CG-1088,South,California,Office Supplies,Storage,STO-47125,1245.48,4,0.5,133.77
CA-2021-100123,2022-11-26,2022-12-02,CG-1153,East,New York,Technology,Phones,PHO-36794,1583.17,5,0,-107.16
CA-2021-100124,2021-11-05,2021-11-07,CG-1110,West,Texas,Furniture,Furnishings,FUR-59834,871.89,2,0,85.82
CA-2021-100125,2022-06-30,2022-07-06,CG-1019,Central,Washington,Furniture,Furnishings,FUR-66267,220.87,1,0.1,-41.69
CA-2021-100126,2022-08-11,2022-08-15,CG-1043,South,Pennsylvania,Technology,Phones,PHO-21551,872.1,7,0,331.15
CA-2021-100127,2022-03-24,2022-03-31,CG-1079,Central,Florida,Furniture,Chairs,CHA-53655,1309.85,7,0.2,-200.16
CA-2021-100128,2021-06-22,2021-06-23,CG-1186,West,Florida,Technology,Accessories,ACC-23474,1594.16,4,0.5,15.34
CA-2021-100129,2021-05-30,2021-06-02,CG-1160,South,Georgia,Furniture,Chairs,CHA-83889,1809.18,2,0,670.8
CA-2021-100130,2022-08-17,2022-08-21,CG-1120,South,Illinois,Technology,Machines,MAC-46002,2593.42,6,0,165.61
CA-2021-100131,2022-08-29,2022-08-30,CG-1094,Central,California,Office Supplies,Supplies,SUP-94497,227.2,8,0.1,-40.31
CA-2021-100132,2021-04-03,2021-04-08,CG-1010,South,Washington,Technology,Phones,PHO-95437,1390.82,9,0.5,338.46
CA-2021-100133,2021-07-12,2021-07-15,CG-1087,East,Michigan,Technology,Phones,PHO-94689,1506.6,1,0.1,-207.76
CA-2021-100134,2021-06-26,2021-06-27,CG-1093,Central,Illinois,Furniture,Tables,TAB-60779,2973.0,9,0.2,493.17
CA-2021-100135,2022-02-23,2022-03-02,CG-1142,South,Illinois,Office Supplies,Appliances,APP-43029,2368.73,6,0,-5.18
CA-2021-100136,2022-11-04,2022-11-09,CG-1167,South,Texas,Furniture,Furnishings,FUR-87993,249.1,3,0,-3.45
CA-2021-100137,2022-12-27,2022-12-28,CG-1179,East,Ohio,Office Supplies,Supplies,SUP-76648,1133.15,6,0.5,-139.74
CA-2021-100138,2022-01-06,2022-01-07,CG-1124,West,Florida,Office Supplies,Fasteners,FAS-28030,544.89,4,0,200.85
CA-2021-100139,2021-06-08,2021-06-09,CG-1134,East,Pennsylvania,Office Supplies,Art,ART-91006,1525.53,9,0.5,370.99
CA-2021-100140,2021-05-15,2021-05-20,CG-1184,South,New York,Office Supplies,Binders,BIN-63852,490.93,10,0.5,167.7
CA-2021-100141,2022-01-09,2022-01-15,CG-1114,West,Michigan,Technology,Copiers,COP-41348,2908.92,10,0,731.4
CA-2021-100142,2021-11-13,2021-11-20,CG-1072,South,Michigan,Office Supplies,Envelopes,ENV-79135,1106.68,10,0.1,85.22
CA-2021-100143,2022-03-05,2022-03-07,CG-1095,East,Michigan,Furniture,Chairs,CHA-26341,2619.64,1,0.3,231.46
CA-2021-100144,2021-10-19,2021-10-20,CG-1023,West,Georgia,Furniture,Furnishings,FUR-55820,1350.71,9,0,403.36
CA-2021-100145,2021-01-28,2021-02-01,CG-1095,West,New York,Furniture,Tables,TAB-51770,1508.51,4,0.1,598.45
CA-2021-100146,2021-04-12,2021-04-19,CG-1120,West,Georgia,Technology,Machines,MAC-68799,2375.19,3,0,-66.2
CA-2021-100147,2022-09-23,2022-09-24,CG-1155,South,California,Furniture,Bookcases,BOO-47762,771.49,3,0.2,280.93
CA-2021-100148,2021-09-01,2021-09-04,CG-1127,East,Michigan,Furniture,Bookcases,BOO-85372,719.13,10,0.1,-116.73
CA-2021-100149,2021-09-05,2021-09-11,CG-1106,West,California,Furniture,Furnishings,FUR-78614,1290.57,10,0,-71.84
CA-2021-100150,2022-01-05,2022-01-06,CG-1095,Central,New York,Technology,Accessories,ACC-56805,1174.41,8,0,213.04
CA-2021-100151,2021-03-11,2021-03-14,CG-1139,Central,Texas,Furniture,Bookcases,BOO-99742,2315.65,6,0,-401.53
CA-2021-100152,2022-04-21,2022-04-27,CG-1117,East,Illinois,Office Supplies,Binders,BIN-36422,2435.44,2,0.3,647.13
CA-2021-100153,2021-02-14,2021-02-21,CG-1139,South,Illinois,Furniture,Bookcases,BOO-14799,950.21,5,0.2,37.0
CA-2021-100154,2022-10-25,2022-10-27,CG-1069,East,Pennsylvania,Office Supplies,Labels,LAB-67272,2587.1,1,0.5,500.45
CA-2021-100155,2022-02-14,2022-02-20,CG-1094,Central,California,Office Supplies,Paper,PAP-65640,1020.41,3,0.1,219.63
CA-2021-100156,2021-03-22,2021-03-26,CG-1169,Central,Illinois,Technology,Copiers,COP-68447,1638.7,6,0,-249.01
CA-2021-100157,2022-09-10,2022-09-16,CG-1090,South,Illinois,Office Supplies,Binders,BIN-93816,2070.85,6,0.1,-361.54
CA-2021-100158,2021-02-28,2021-03-01,CG-1155,South,New York,Technology,Phones,PHO-26545,1093.12,3,0,-124.98
CA-2021-100159,2021-03-10,2021-03-12,CG-1173,South,Pennsylvania,Technology,Machines,MAC-58760,1089.64,10,0,177.67
CA-2021-100160,2022-03-31,2022-04-07,CG-1063,East,New York,Furniture,Chairs,CHA-34385,1590.73,7,0,301.82
CA-2021-100161,2022-05-27,2022-06-01,CG-1156,Central,Georgia,Office Supplies,Supplies,SUP-36237,357.69,5,0.3,24.24
CA-2021-100162,2021-05-06,2021-05-08,CG-1081,Central,California,Furniture,Tables,TAB-82089,522.11,8,0,149.48
CA-2021-100163,2022-07-10,2022-07-13,CG-1057,East,Florida,Office Supplies,Binders,BIN-28202,2136.87,3,0.5,36.1
CA-2021-100164,2021-08-31,2021-09-07,CG-1141,West,Washington,Office Supplies,Appliances,APP-21300,1085.89,10,0,87.35
CA-2021-100165,2021-03-09,2021-03-12,CG-1032,Central,California,Office Supplies,Storage,STO-68979,1579.46,7,0.5,228.93
CA-2021-100166,2022-04-23,2022-04-29,CG-1196,West,Ohio,Technology,Machines,MAC-75911,389.36,9,0.3,59.44
CA-2021-100167,2021-02-26,2021-03-05,CG-1057,Central,Michigan,Furniture,Chairs,CHA-47230,915.85,3,0,330.48
CA-2021-100168,2021-03-22,2021-03-25,CG-1128,West,Washington,Furniture,Furnishings,FUR-86106,379.89,5,0.2,45.62
CA-2021-100169,2021-06-07,2021-06-09,CG-1007,East,New York,Technology,Machines,MAC-94076,2528.38,10,0,746.23
CA-2021-100170,2022-08-14,2022-08-17,CG-1127,Central,Illinois,Technology,Copiers,COP-73300,2302.04,7,0.2,422.18
CA-2021-100171,2021-09-08,2021-09-15,CG-1112,South,Georgia,Technology,Phones,PHO-70875,895.81,2,0.3,-146.96
CA-2021-100172,2021-07-28,2021-07-31,CG-1088,South,Texas,Technology,Copiers,COP-58567,941.18,6,0.3,369.71
CA-2021-100173,2022-06-12,2022-06-17,CG-1036,East,New York,Furniture,Furnishings,FUR-48038,729.0,2,0,50.85
CA-2021-100174,2022-01-29,2022-02-05,CG-1147,Central,Florida,Technology,Phones,PHO-30885,748.57,3,0.5,-2.65
CA-2021-100175,2022-05-26,2022-05-31,CG-1100,South,Florida,Office Supplies,Storage,STO-38199,2637.83,8,0,-385.05
CA-2021-100176,2022-08-21,2022-08-24,CG-1120,Central,Michigan,Furniture,Bookcases,BOO-11071,847.66,10,0.5,163.22
CA-2021-100177,2021-04-21,2021-04-25,CG-1013,West,Pennsylvania,Furniture,Furnishings,FUR-82512,2183.89,7,0,-377.5
CA-2021-100178,2021-10-23,2021-10-24,CG-1159,East,Texas,Office Supplies,Supplies,SUP-22672,1353.81,9,0,399.63
CA-2021-100179,2022-02-08,2022-02-11,CG-1102,East,New York,Office Supplies,Supplies,SUP-15100,2817.15,3,0,454.91
CA-2021-100180,2021-05-21,2021-05-27,CG-1035,Central,Washington,Office Supplies,Storage,STO-51750,1560.4,3,0.2,524.11
CA-2021-100181,2021-06-16,2021-06-20,CG-1125,Central,Georgia,Technology,Machines,MAC-12180,1783.21,9,0.5,188.71
CA-2021-100182,2022-01-13,2022-01-16,CG-1185,East,Washington,Technology,Accessories,ACC-72205,2939.79,10,0,817.42
CA-2021-100183,2021-09-29,2021-10-05,CG-1161,South,Texas,Technology,Copiers,COP-99224,2165.59,10,0.1,-211.56
CA-2021-100184,2021-09-06,2021-09-07,CG-1105,West,Ohio,Technology,Accessories,ACC-75774,576.4,8,0,29.55
CA-2021-100185,2022-09-19,2022-09-23,CG-1169,South,Michigan,Technology,Accessories,ACC-59391,2118.8,9,0,289.28
CA-2021-100186,2021-11-18,2021-11-20,CG-1184,Central,Washington,Office Supplies,Supplies,SUP-73462,1030.27,6,0.3,271.16
CA-2021-100187,2021-07-16,2021-07-18,CG-1053,South,Pennsylvania,Office Supplies,Supplies,SUP-72888,899.0,5,0.5,-23.91
CA-2021-100188,2021-12-24,2021-12-29,CG-1101,Central,Texas,Technology,Machines,MAC-48070,866.93,10,0.3,109.16
CA-2021-100189,2021-02-13,2021-02-16,CG-1122,West,Florida,Technology,Accessories,ACC-80592,1042.36,8,0.3,-48.09
CA-2021-100190,2021-10-05,2021-10-10,CG-1062,East,Michigan,Technology,Machines,MAC-39579,416.13,10,0.3,63.29
CA-2021-100191,2022-10-16,2022-10-18,CG-1035,East,Michigan,Furniture,Bookcases,BOO-30701,1242.84,8,0,259.4
CA-2021-100192,2022-02-21,2022-02-27,CG-1015,East,Washington,Office Supplies,Storage,STO-40437,1953.36,5,0,-56.16
CA-2021-100193,2022-07-02,2022-07-08,CG-1045,East,Ohio,Technology,Accessories,ACC-74930,2740.12,3,0.1,902.45
CA-2021-100194,2021-07-10,2021-07-16,CG-1085,Central,Georgia,Office Supplies,Appliances,APP-94058,32.76,10,0.2,-4.44
CA-2021-100195,2022-07-11,2022-07-16,CG-1028,Central,Texas,Office Supplies,Binders,BIN-70150,2553.92,8,0,-215.33
CA-2021-100196,2022-10-26,2022-10-29,CG-1172,West,Texas,Technology,Copiers,COP-90079,47.18,6,0.5,-1.08
CA-2021-100197,2022-10-17,2022-10-21,CG-1035,South,Pennsylvania,Office Supplies,Supplies,SUP-42512,987.14,7,0.3,-140.93
CA-2021-100198,2021-01-07,2021-01-10,CG-1185,East,Illinois,Office Supplies,Envelopes,ENV-95679,1342.97,5,0,-25.29
CA-2021-100199,2022-01-04,2022-01-10,CG-1175,Central,California,Furniture,Bookcases,BOO-93717,2005.02,8,0,-208.86
CA-2021-100200,2021-10-30,2021-11-02,CG-1191,Central,Ohio,Technology,Copiers,COP-81989,661.29,3,0.1,-71.48
CA-2021-100201,2022-04-28,2022-05-05,CG-1134,South,Michigan,Technology,Copiers,COP-57419,2286.77,10,0.5,622.97
CA-2021-100202,2021-03-21,2021-03-26,CG-1038,West,Pennsylvania,Furniture,Bookcases,BOO-78202,2487.18,9,0,357.21
CA-2021-100203,2022-03-29,2022-03-30,CG-1114,East,Georgia,Technology,Copiers,COP-27294,2152.17,8,0,730.3
CA-2021-100204,2022-06-10,2022-06-14,CG-1065,East,Florida,Office Supplies,Appliances,APP-85800,1678.6,5,0.3,-313.79
CA-2021-100205,2021-03-16,2021-03-17,CG-1017,South,New York,Office Supplies,Labels,LAB-47629,2102.65,9,0,758.53
CA-2021-100206,2022-02-23,2022-02-25,CG-1096,South,California,Furniture,Tables,TAB-99486,1126.51,7,0.1,362.48
CA-2021-100207,2022-11-09,2022-11-16,CG-1137,South,Michigan,Technology,Copiers,COP-26691,1962.33,6,0,-182.33
CA-2021-100208,2021-08-17,2021-08-24,CG-1108,South,Florida,Furniture,Bookcases,BOO-42441,2935.58,8,0.3,679.46
CA-2021-100209,2022-04-17,2022-04-20,CG-1107,East,Florida,Furniture,Furnishings,FUR-37011,569.5,2,0,162.7
